suite,module,test,ok,status,detail,timestamp
smoke-suite-api,checklist,create,PASS,201,"{""data"":{""id"":6,""commessaId"":8,""titolo"":""CL1"",""categoria"":""fab"",""fase"":""Saldatura"",""dataCompilazione"":""2026-04-07T15:29:31.416Z"",""esito"":nul",2026-04-07T15:29:46.668Z
smoke-suite-api,checklist,update complete,PASS,200,"{""data"":{""id"":6,""commessaId"":8,""titolo"":""CL1"",""categoria"":""fab"",""fase"":""Saldatura"",""dataCompilazione"":""2026-04-07T15:29:31.416Z"",""",2026-04-07T15:29:46.668Z
smoke-suite-api,non-conformita,blocking CHIUSA without azione,PASS,400,"{""statusCode"":400,""path"":""/non-conformita"",""timestamp"":""2026-04-07T15:29:32.361Z"",""message"":{""message"":""Per chiudere una non conformita e obbligatoria l'azione ",2026-04-07T15:29:46.668Z
smoke-suite-api,non-conformita,create,PASS,201,"{""data"":{""id"":4,""commessaId"":8,""titolo"":""NC1"",""descrizione"":""d"",""tipo"":""INTERNA"",""gravita"":""MEDIA"",""stato"":""APERTA"",""cau",2026-04-07T15:29:46.668Z
smoke-suite-api,audit,blocking missing note,PASS,400,"{""statusCode"":400,""path"":""/audit"",""timestamp"":""2026-04-07T15:29:32.841Z"",""message"":{""message"":""Le note audit sono obbligatorie."",""error"":""Bad Request""",2026-04-07T15:29:46.668Z
smoke-suite-api,audit,create,PASS,201,"{""data"":{""id"":6,""commessaId"":8,""titolo"":""A1"",""data"":""2026-04-07T15:29:32.843Z"",""auditor"":""RGQ"",""esito"":""CONFORME"",""note""",2026-04-07T15:29:46.668Z
smoke-suite-api,wps,create,PASS,201,"{""data"":{""id"":6,""commessaId"":8,""codice"":""WPS766903"",""descrizione"":null,""processo"":""135"",""spessore"":null,""materialeBase"":null,""scad",2026-04-07T15:29:46.668Z
smoke-suite-api,wpqr,blocking scadenza <= dataQualifica,PASS,400,"{""statusCode"":400,""path"":""/wpqr"",""timestamp"":""2026-04-07T15:29:34.118Z"",""message"":{""message"":""La scadenza WPQR deve essere successiva alla data di qua",2026-04-07T15:29:46.668Z
smoke-suite-api,wpqr,create,PASS,201,"{""data"":{""id"":4,""commessaId"":8,""codice"":""WPQR766903"",""saldatore"":""Mario"",""wpsId"":6,""dataQualifica"":""2026-01-10T00:00:00.000Z"",""sca",2026-04-07T15:29:46.668Z
smoke-suite-api,documenti,create/upload,PASS,201,"{""data"":{""id"":8,""commessaId"":8,""nome"":""Smoke Doc"",""tipo"":""CERTIFICATO"",""versione"":""1"",""percorsoFile"":""uploads/documenti/097f6102-f069-4549-b",2026-04-07T15:29:46.668Z
smoke-suite-api,report,get dashboard,PASS,200,"{""data"":{""generatedAt"":""2026-04-07T15:29:36.025Z"",""riepilogo"":{""commesseTotal"":2,""commesseAttive"":1,""materialiTotal"":1,""",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,blocking CHIUSA with NC aperta,PASS,400,"{""statusCode"":400,""path"":""/commesse/8"",""timestamp"":""2026-04-07T15:29:36.240Z"",""message"":{""message"":""Impossibile chiudere commessa: sono presenti non conformita aperte."",""",2026-04-07T15:29:46.668Z
smoke-suite-api,non-conformita,update close with azione,PASS,200,"{""data"":{""id"":4,""commessaId"":8,""titolo"":""NC1"",""descrizione"":""d"",""tipo"":""INTERNA"",""gravita"":""MEDIA"",""stato"":""CHIUSA"",""cau",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,update CHIUSA after prereq,PASS,200,"{""data"":{""id"":8,""codice"":""SMK766903"",""titolo"":null,""cliente"":""Smoke Client"",""descrizione"":null,""responsabile"":null,""luogo"":null,""note"":null,""dataApertura"":""2026",2026-04-07T15:29:46.668Z
smoke-suite-api,audit,update,PASS,200,"{""data"":{""id"":6,""commessaId"":8,""titolo"":""A1"",""data"":""2026-04-07T15:29:32.843Z"",""auditor"":""RGQ"",""esit",2026-04-07T15:29:46.668Z
smoke-suite-api,piani-controllo,update,PASS,200,"{""data"":{""id"":5,""commessaId"":8,""fase"":""Taglio"",""controlliRichiesti"":[{""codice"":""VT"",""descrizione"":""C",2026-04-07T15:29:46.668Z
smoke-suite-api,wps,update,PASS,200,"{""data"":{""id"":6,""commessaId"":8,""codice"":""WPS766903"",""descrizione"":null,""processo"":""135"",""spessore"":n",2026-04-07T15:29:46.668Z
smoke-suite-api,wpqr,update,PASS,200,"{""data"":{""id"":4,""commessaId"":8,""codice"":""WPQR766903"",""saldatore"":""Mario"",""wpsId"":6,""dataQualifica"":""",2026-04-07T15:29:46.668Z
smoke-suite-api,tracciabilita,update,PASS,200,"{""data"":{""id"":6,""commessaId"":8,""materialeId"":6,""posizione"":""A1"",""quantita"":""1"",""descrizioneComponent",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,update,PASS,200,"{""data"":{""id"":6,""commessaId"":8,""codice"":""MAT766903"",""descrizione"":""Piastra"",""tipo"":""acciaio"",""norma"":""EN10025""",2026-04-07T15:29:46.668Z
smoke-suite-api,documenti,delete,PASS,200,"{""data"":{""deleted"":true,""id"":8}}",2026-04-07T15:29:46.668Z
smoke-suite-api,wpqr,delete,PASS,200,"{""data"":{""deleted"":true,""id"":4}}",2026-04-07T15:29:46.668Z
smoke-suite-api,wps,delete,PASS,200,"{""data"":{""deleted"":true,""id"":6}}",2026-04-07T15:29:46.668Z
smoke-suite-api,tracciabilita,delete,PASS,200,"{""data"":{""deleted"":true,""id"":6}}",2026-04-07T15:29:46.668Z
smoke-suite-api,materiali,delete,PASS,200,"{""data"":{""deleted"":true,""id"":6}}",2026-04-07T15:29:46.668Z
smoke-suite-api,checklist,delete,PASS,200,"{""data"":{""deleted"":true,""id"":6}}",2026-04-07T15:29:46.668Z
smoke-suite-api,non-conformita,delete,PASS,200,"{""data"":{""deleted"":true,""id"":4}}",2026-04-07T15:29:46.668Z
smoke-suite-api,audit,delete,PASS,200,"{""data"":{""deleted"":true,""id"":6}}",2026-04-07T15:29:46.668Z
smoke-suite-api,piani-controllo,delete,PASS,200,"{""data"":{""deleted"":true,""id"":5}}",2026-04-07T15:29:46.668Z
smoke-suite-api,commesse,delete,PASS,200,"{""data"":{""deleted"":true,""id"":8}}",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,checklist COMPLETATA missing esito,PASS,400,"{""statusCode"":400,""path"":""/checklist"",""timestamp"":""2026-04-07T15:29:42.389Z"",""message"":{""message"":""Non puoi completare la checklist senza es",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,checklist COMPLETATA missing note,PASS,400,"{""statusCode"":400,""path"":""/checklist"",""timestamp"":""2026-04-07T15:29:42.448Z"",""message"":{""message"":""Per checklist completata le note sono obb",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,checklist COMPLETATA missing allegati,PASS,400,"{""statusCode"":400,""path"":""/checklist"",""timestamp"":""2026-04-07T15:29:42.505Z"",""message"":{""message"":""Per checklist completata serve almeno un ",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,commessa CHIUSA blocked missing tracciabilita,PASS,400,"{""statusCode"":400,""path"":""/commesse/9"",""timestamp"":""2026-04-07T15:29:44.595Z"",""message"":{""message"":""Impossibile chiudere commessa senza almeno un record di trac",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,commessa CHIUSA blocked WPS without WPQR,PASS,400,"{""statusCode"":400,""path"":""/commesse/9"",""timestamp"":""2026-04-07T15:29:46.469Z"",""message"":{""message"":""Impossibile chiudere commessa: ogni WPS deve avere almeno un WPQR vali",2026-04-07T15:29:46.668Z
smoke-blocking-additional,blocking-rules,cleanup commessa delete,PASS,200,"{""data"":{""deleted"":true,""id"":9}}",2026-04-07T15:29:46.668Z
